n;type;threshold;msec
9400;"reversed";10;1978333
9500;"reversed";10;1995583
9600;"reversed";10;2013916
9700;"reversed";10;2031167
9800;"reversed";10;2048417
9900;"reversed";10;2058041
10000;"reversed";10;2076458
500;"almost_sorted";10;76250
600;"almost_sorted";10;86666
700;"almost_sorted";10;129166
800;"almost_sorted";10;143458
900;"almost_sorted";10;156833
1000;"almost_sorted";10;170459
1100;"almost_sorted";10;179875
1200;"almost_sorted";10;191792
1300;"almost_sorted";10;216125
1400;"almost_sorted";10;280083
1500;"almost_sorted";10;298708
1600;"almost_sorted";10;315417
1700;"almost_sorted";10;324000
1800;"almost_sorted";10;339333
1900;"almost_sorted";10;352792
2000;"almost_sorted";10;365375
2100;"almost_sorted";10;383500
2200;"almost_sorted";10;396166
2300;"almost_sorted";10;409583
2400;"almost_sorted";10;421167
2500;"almost_sorted";10;434834
2600;"almost_sorted";10;470834
2700;"almost_sorted";10;539959
2800;"almost_sorted";10;606333
2900;"almost_sorted";10;630083
3000;"almost_sorted";10;645625
3100;"almost_sorted";10;665791
3200;"almost_sorted";10;677000
3300;"almost_sorted";10;691209
3400;"almost_sorted";10;704250
3500;"almost_sorted";10;719375
3600;"almost_sorted";10;737166
3700;"almost_sorted";10;754791
3800;"almost_sorted";10;769958
3900;"almost_sorted";10;781625
4000;"almost_sorted";10;794792
4100;"almost_sorted";10;811125
4200;"almost_sorted";10;835333
4300;"almost_sorted";10;848041
4400;"almost_sorted";10;862875
4500;"almost_sorted";10;877458
4600;"almost_sorted";10;892250
4700;"almost_sorted";10;985209
4800;"almost_sorted";10;1021959
4900;"almost_sorted";10;1032333
5000;"almost_sorted";10;1045750
5100;"almost_sorted";10;1070667
5200;"almost_sorted";10;1134125
5300;"almost_sorted";10;1227333
5400;"almost_sorted";10;1318583
5500;"almost_sorted";10;1368167
5600;"almost_sorted";10;1448541
5700;"almost_sorted";10;1434125
5800;"almost_sorted";10;1446167
5900;"almost_sorted";10;1456833
6000;"almost_sorted";10;1482250
6100;"almost_sorted";10;1502000
6200;"almost_sorted";10;1523500
6300;"almost_sorted";10;1541625
6400;"almost_sorted";10;1548667
6500;"almost_sorted";10;1574417
6600;"almost_sorted";10;1583833
6700;"almost_sorted";10;1557833
6800;"almost_sorted";10;1526083
6900;"almost_sorted";10;1536000
7000;"almost_sorted";10;1568250
7100;"almost_sorted";10;1576042
7200;"almost_sorted";10;1595542
7300;"almost_sorted";10;1616208
7400;"almost_sorted";10;1630917
7500;"almost_sorted";10;1646334
7600;"almost_sorted";10;1668834
7700;"almost_sorted";10;1679084
7800;"almost_sorted";10;1694125
7900;"almost_sorted";10;1711958
8000;"almost_sorted";10;1723833
8100;"almost_sorted";10;1746583
8200;"almost_sorted";10;1762166
8300;"almost_sorted";10;1785208
8400;"almost_sorted";10;1797375
8500;"almost_sorted";10;1829458
8600;"almost_sorted";10;1830917
8700;"almost_sorted";10;1850208
8800;"almost_sorted";10;1883250
8900;"almost_sorted";10;1887125
9000;"almost_sorted";10;1911291
9100;"almost_sorted";10;1923791
9200;"almost_sorted";10;1934125
9300;"almost_sorted";10;1953125
9400;"almost_sorted";10;1969042
9500;"almost_sorted";10;1982041
9600;"almost_sorted";10;1997875
9700;"almost_sorted";10;2014958
9800;"almost_sorted";10;2033667
9900;"almost_sorted";10;2051125
10000;"almost_sorted";10;2068167
500;"random";20;57417
600;"random";20;66417
700;"random";20;103583
800;"random";20;111292
900;"random";20;121000
1000;"random";20;129625
1100;"random";20;144250
1200;"random";20;151792
1300;"random";20;177959
1400;"random";20;221417
1500;"random";20;234416
1600;"random";20;248750
1700;"random";20;258208
1800;"random";20;267833
1900;"random";20;278458
2000;"random";20;289958
2100;"random";20;304333
2200;"random";20;317000
2300;"random";20;327750
2400;"random";20;341333
2500;"random";20;352125
2600;"random";20;397875
2700;"random";20;476167
2800;"random";20;486916
2900;"random";20;500083
3000;"random";20;514500
3100;"random";20;528375
3200;"random";20;539834
3300;"random";20;560500
3400;"random";20;568417
3500;"random";20;580417
3600;"random";20;593833
3700;"random";20;605500
3800;"random";20;649959
3900;"random";20;630083
4000;"random";20;642208
4100;"random";20;657125
4200;"random";20;674375
4300;"random";20;693500
4400;"random";20;700917
4500;"random";20;715792
4600;"random";20;728166
4700;"random";20;743042
4800;"random";20;758167
4900;"random";20;767667
5000;"random";20;786083
5100;"random";20;797125
5200;"random";20;869292
5300;"random";20;960916
5400;"random";20;1029042
5500;"random";20;1046458
5600;"random";20;1059833
5700;"random";20;1074000
5800;"random";20;1085458
5900;"random";20;1103792
6000;"random";20;1120459
6100;"random";20;1132708
6200;"random";20;1148625
6300;"random";20;1165208
6400;"random";20;1180000
6500;"random";20;1194458
6600;"random";20;1210250
6700;"random";20;1221250
6800;"random";20;1238250
6900;"random";20;1251458
7000;"random";20;1266208
7100;"random";20;1277875
7200;"random";20;1294333
7300;"random";20;1309917
7400;"random";20;1322166
7500;"random";20;1368208
7600;"random";20;1353791
7700;"random";20;1362666
7800;"random";20;1377791
7900;"random";20;1391583
8000;"random";20;1404625
8100;"random";20;1428333
8200;"random";20;1446625
8300;"random";20;1496959
8400;"random";20;1487667
8500;"random";20;1514334
8600;"random";20;1515792
8700;"random";20;1523375
8800;"random";20;1538167
8900;"random";20;1555333
9000;"random";20;1568125
9100;"random";20;1585125
9200;"random";20;1595875
9300;"random";20;1616708
9400;"random";20;1641708
9500;"random";20;1643000
9600;"random";20;1657333
9700;"random";20;1674917
9800;"random";20;1687167
9900;"random";20;1702000
10000;"random";20;1717708
500;"reversed";20;55334
600;"reversed";20;64500
700;"reversed";20;99500
800;"reversed";20;106708
900;"reversed";20;116541
1000;"reversed";20;125708
1100;"reversed";20;140042
1200;"reversed";20;147042
